N,종목명,현재가,전일비,등락률,액면가,매출액,영업이익,당기순이익
1,삼성전자,"68,000",900,-1.31%,100,"3,022,314","433,766","556,541"
2,LG에너지솔루션,"484,000","9,500",-1.93%,500,"255,986","12,137","7,798"
3,SK하이닉스,"124,700",500,+0.40%,"5,000","446,216","68,094","22,417"
4,삼성바이오로직스,"721,000","7,000",-0.96%,"2,500","30,013","9,836","7,981"
5,삼성전자우,"55,300",400,-0.72%,100,N/A,N/A,N/A
6,테스트 종목,12345678,"6,000",-1.16%,"5,000","847,502","48,501","35,605"
7,현대차,"187,100",900,-0.48%,"5,000","1,425,275","98,198","79,836"
8,LG화학,"528,000","1,000",-0.19%,"5,000","518,649","29,957","21,955"
9,삼성SDI,"526,000","9,000",-1.68%,"5,000","201,241","18,080","20,394"
10,기아,"84,200",300,-0.36%,"5,000","865,590","72,331","54,090"
11,NAVER,"191,800","1,800",-0.93%,100,"82,201","13,047","6,732"
12,포스코퓨처엠,"348,000",0,0.00%,500,"33,019","1,659","1,219"
13,KB금융,"56,600",100,+0.18%,"5,000","888,959","56,389","41,732"
14,현대모비스,"232,500","1,500",-0.64%,"5,000","519,063","20,265","24,872"
15,셀트리온,"143,900",200,-0.14%,"1,000","22,840","6,472","5,426"
16,삼성물산,"107,800",100,-0.09%,100,"431,617","25,285","25,450"
17,카카오,"43,200",450,-1.03%,100,"71,068","5,803","10,626"
18,신한지주,"35,500",50,-0.14%,"5,000","354,133","58,881","47,322"
19,LG전자,"105,100",900,-0.85%,"5,000","834,673","35,510","18,631"
20,SK이노베이션,"147,100",300,+0.20%,"5,000","780,569","39,173","18,952"
21,삼성생명,"73,100",900,+1.25%,500,"403,310","13,866","17,208"
22,LG,"83,100","1,400",-1.66%,"5,000","71,860","19,414","21,158"
23,하나금융지주,"43,500",250,+0.58%,"5,000","708,438","46,903","36,212"
24,삼성화재,"258,000",0,0.00%,500,"257,844","16,061","12,837"
25,KT&G,"87,000",700,-0.80%,"5,000","58,514","12,676","10,053"
26,포스코인터내셔널,"67,400",500,-0.74%,"5,000","379,896","9,025","6,049"
27,SK,"153,500","5,600",-3.52%,200,"1,345,516","80,047","39,662"
28,한국전력,"17,480",30,-0.17%,"5,000","712,579","-326,552","-244,291"
29,메리츠금융지주,"53,500",0,0.00%,500,"703,656","22,009","16,404"
30,카카오뱅크,"23,250",900,-3.73%,"5,000","16,058","3,532","2,631"
31,SK텔레콤,"49,150",50,+0.10%,100,"173,050","16,121","9,478"
32,삼성에스디에스,"135,500","3,100",-2.24%,500,"172,347","9,161","11,300"
33,삼성전기,"140,000",400,-0.28%,"5,000","94,246","11,828","9,935"
34,하이브,"244,500","1,500",-0.61%,500,"17,762","2,369",480
35,고려아연,"484,500","1,000",+0.21%,"5,000","112,194","9,192","7,983"
36,HD현대중공업,"113,800","2,500",-2.15%,"5,000","90,455","-2,892","-3,521"
37,우리금융지주,"12,540",20,+0.16%,"5,000","423,727","44,305","33,240"
38,기업은행,"11,750",170,+1.47%,"5,000","275,361","37,748","27,808"
39,두산에너빌리티,"14,530",600,-3.97%,"5,000","154,211","11,061","-4,531"
40,KT,"32,550",750,-2.25%,"5,000","256,500","16,901","13,877"
41,S-Oil,"73,900",400,+0.54%,"2,500","424,460","34,052","21,044"
42,크래프톤,"154,900",900,+0.58%,100,"18,540","7,516","5,002"
43,대한항공,"20,150",450,-2.18%,"5,000","140,961","28,306","17,295"
44,HD한국조선해양,"99,900","2,600",-2.54%,"5,000","173,020","-3,556","-2,952"
45,HMM,"14,390",650,-4.32%,"5,000","185,828","99,516","100,854"
46,TIGER CD금리투자KIS(합성),"53,160",10,+0.02%,0,N/A,N/A,N/A
47,금양,"117,000","1,900",-1.60%,500,"2,131",132,-291
48,삼성중공업,"7,700",60,-0.77%,"1,000","59,447","-8,544","-6,274"
49,아모레퍼시픽,"114,100","1,300",+1.15%,500,"41,349","2,142","1,293"
50,LG생활건강,"420,000","6,000",-1.41%,"5,000","71,858","7,111","2,583"
51,현대글로비스,"174,000","1,300",-0.74%,500,"269,819","17,985","11,928"
52,SK바이오팜,"81,000","4,200",-4.93%,500,"2,462","-1,311","-1,394"
53,SK스퀘어,"44,650",50,+0.11%,100,"45,107","1,628","2,561"
54,DB손해보험,"88,700",0,0.00%,500,"228,608","13,331","9,880"
55,한화오션,"27,700","1,900",-6.42%,"5,000","48,602","-16,136","-17,448"
56,롯데케미칼,"136,800","1,400",-1.01%,"5,000","222,761","-7,626",278
57,유한양행,"76,100","3,400",-4.28%,"1,000","17,758",360,906
58,KODEX 200,"32,770",290,-0.88%,0,N/A,N/A,N/A
59,삼성엔지니어링,"28,900",600,-2.03%,"5,000","100,543","7,029","5,953"
60,LG이노텍,"238,500","1,000",-0.42%,"5,000","195,894","12,718","9,798"
61,한미반도체,"57,300","1,600",+2.87%,100,"3,276","1,119",923
62,카카오페이,"40,650",450,-1.09%,500,"5,217",-455,268
63,한화에어로스페이스,"106,000","1,000",+0.95%,"5,000","65,396","3,772","1,520"
64,맥쿼리인프라,"12,270",100,+0.82%,0,N/A,N/A,N/A
65,한화솔루션,"30,400",100,+0.33%,"5,000","136,539","9,662","3,660"
66,SK바이오사이언스,"67,300","1,200",-1.75%,500,"4,567","1,150","1,225"
67,두산밥캣,"51,000","1,000",+2.00%,500,"86,219","10,716","6,441"
68,오리온,"127,700","1,500",+1.19%,500,"28,732","4,667","3,983"
69,코스모신소재,"164,300","4,100",-2.43%,"1,000","4,856",325,277
70,SK아이이테크놀로지,"70,600",600,-0.84%,"1,000","5,858",-523,-297
71,한국항공우주,"51,400",800,+1.58%,"5,000","27,869","1,416","1,159"
72,엔씨소프트,"225,500","3,000",-1.31%,500,"25,718","5,590","4,360"
73,현대오토에버,"176,700","3,400",-1.89%,500,"27,545","1,424","1,162"
74,HD현대,"60,800",400,-0.65%,"1,000","608,497","33,870","22,350"
75,한국타이어앤테크놀로지,"37,100",350,-0.93%,500,"83,942","7,058","7,058"
76,현대제철,"33,650","1,650",-4.67%,"5,000","273,406","16,165","10,382"
77,LG유플러스,"10,230",50,-0.49%,"5,000","139,060","10,813","6,626"
78,LG디스플레이,"12,400",90,-0.72%,"5,000","261,518","-20,850","-31,956"
79,CJ제일제당,"279,500",500,+0.18%,"5,000","300,795","16,647","8,027"
80,한온시스템,"7,820","1,360",-14.81%,100,"86,277","2,566",267
81,현대건설,"35,750",900,-2.46%,"5,000","212,391","5,749","4,709"
82,F&F,"103,200",900,+0.88%,100,"18,089","5,249","4,427"
83,한미약품,"314,500","5,500",-1.72%,"2,500","13,315","1,581","1,016"
84,금호석유,"129,000","2,100",-1.60%,"5,000","79,756","11,477","10,257"
85,현대차2우B,"103,300",400,-0.39%,"5,000",N/A,N/A,N/A
86,GS,"39,700",50,-0.13%,"5,000","287,770","50,051","24,827"
87,미래에셋증권,"6,070",70,-1.14%,"5,000","191,608","8,356","6,597"
88,KODEX KOFR금리액티브(합성),"104,560",25,+0.02%,0,N/A,N/A,N/A
89,넷마블,"42,200",400,+0.96%,100,"26,734","-1,087","-8,864"
90,삼성카드,"30,950",100,-0.32%,"5,000","37,946","8,489","6,223"
91,NH투자증권,"10,550",50,-0.47%,"5,000","115,357","5,214","3,029"
92,삼성증권,"37,750",150,-0.40%,"5,000","134,869","5,781","4,224"
93,강원랜드,"14,950",240,-1.58%,500,"12,707","2,176","1,156"
94,코웨이,"42,100",850,+2.06%,500,"38,561","6,774","4,578"
95,KODEX CD금리액티브(합성),"1,014,225",105,+0.01%,0,N/A,N/A,N/A
96,현대로템,"28,150",350,-1.23%,"5,000","31,633","1,475","1,945"
97,한국금융지주,"53,800",400,-0.74%,"5,000","250,281","5,458","6,398"
98,현대해상,"33,500",250,+0.75%,500,"203,844","8,080","5,746"
99,두산로보틱스,"45,750","2,050",-4.29%,500,450,-132,-125
100,현대미포조선,"74,000","1,400",-1.86%,"5,000","37,169","-1,091",-438
101,LS,"90,600","4,000",-4.23%,"5,000","174,913","6,709","5,055"
102,SKC,"76,500",900,+1.19%,"5,000","31,389","2,203",-246
103,한진칼,"43,000",0,0.00%,"2,500","2,003",145,"6,596"
104,농심,"465,000","1,000",+0.22%,"5,000","31,291","1,122","1,160"
105,호텔신라,"72,000",900,-1.23%,"5,000","49,220",783,-502
106,롯데지주,"26,450",250,-0.94%,200,"141,119","4,898","3,366"
107,쌍용C&E,"5,460",40,-0.73%,100,"19,650","2,209","1,278"
108,KODEX 종합채권(AA-이상)액티브,"103,640",325,-0.31%,0,N/A,N/A,N/A
109,키움증권,"102,200","1,900",-1.83%,"5,000","89,424","6,564","5,082"
110,HD현대일렉트릭,"71,600",900,+1.27%,"5,000","21,045","1,330","1,620"
111,LG화학우,"333,000","5,000",-1.48%,"5,000",N/A,N/A,N/A
