N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"68,900",700,-1.01%,100,"4,113,180","5,969,783",53.17,"10,730,771",13.15,17.07,
2,LG에너지솔루션,"487,000","12,500",-2.50%,500,"1,139,580","234,000",5.01,"285,508",82.61,5.75,
3,SK하이닉스,"116,500","1,500",-1.27%,"5,000","848,123","728,002",52.07,"3,142,230",-10.35,3.56,
4,삼성바이오로직스,"710,000","9,000",-1.25%,"2,500","505,335","71,174",10.26,"60,137",61.20,11.42,
5,POSCO홀딩스,"577,000","17,000",-2.86%,"5,000","487,976","84,571",28.21,"699,018",38.89,6.11,
6,삼성전자우,"55,800",300,-0.53%,100,"459,171","822,887",72.57,"740,654",10.65,N/A,
7,현대차,"191,900","3,000",-1.54%,"5,000","405,929","211,532",33.52,"321,714",5.56,9.36,
8,LG화학,"525,000","26,000",-4.72%,"5,000","370,610","70,592",44.99,"587,961",27.46,6.95,
9,삼성SDI,"538,000","25,000",-4.44%,"5,000","369,953","68,765",48.54,"262,381",18.00,12.52,
10,NAVER,"210,000","7,500",-3.45%,100,"344,503","164,049",47.20,"679,911",47.29,3.29,
11,기아,"79,800","1,600",-1.97%,"5,000","320,831","402,044",38.15,"648,194",4.35,14.57,
12,포스코퓨처엠,"398,000","13,000",-3.16%,500,"308,304","77,463",7.17,"363,061",250.31,4.87,
13,KB금융,"57,300",500,+0.88%,"5,000","231,212","403,511",72.76,"904,039",5.04,9.17,
14,현대모비스,"238,000","4,500",-1.86%,"5,000","224,399","94,285",38.16,"122,470",7.56,6.80,
15,셀트리온,"142,500","2,800",-1.93%,"1,000","208,624","146,403",19.56,"360,969",38.00,13.35,
16,카카오,"45,650","1,450",-3.08%,100,"202,878","444,421",25.91,"2,445,563",174.24,13.54,
17,삼성물산,"108,200",500,-0.46%,100,"200,810","185,592",18.66,"143,908",9.14,7.16,
18,신한지주,"37,500",300,-0.79%,"5,000","193,314","515,504",59.90,"954,816",4.34,9.70,
19,LG전자,"102,900",500,-0.48%,"5,000","168,394","163,648",29.16,"557,413",45.37,6.61,
20,SK이노베이션,"159,000","5,400",-3.28%,"5,000","147,020","92,466",23.48,"523,220",-17.88,8.49,
